date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:58	246/246	---M--	200	added ('OK')	image/png	etag:%2228feccc0-f6%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/heart-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/heart-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:58	154/154	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-9a%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/home-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/home-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:58	251/251	---M--	200	added ('OK')	image/png	etag:%2228feccc0-fb%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/info-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/info-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:59	247/247	---M--	200	added ('OK')	image/png	etag:%2228feccc0-f7%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/location-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/location-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:59	207/207	---M--	200	added ('OK')	image/png	etag:%2228feccc0-cf%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/lock-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/lock-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:59	227/227	---M--	200	added ('OK')	image/png	etag:%2228feccc0-e3%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/mail-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/mail-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:59	116/116	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-74%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/minus-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/minus-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:10:00	241/241	---M--	200	added ('OK')	image/png	etag:%2228feccc0-f1%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/navigation-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/navigation-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:10:00	274/274	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-112%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/phone-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/phone-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:10:00	124/124	---M--	200	added ('OK')	image/png	etag:%2228feccc0-7c%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/plus-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/plus-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
